Platform_ID,last_mod,NRT_DOI,Corrected_DOI,Operator_DOI,Best_Available,Notes_Refs
13313e,,,,,,MM-670; Meteomatics; WMO op 73
4AK9F,,,,,,DJI Mini; UVA; WMO op 75
4H9FW,,,,,,DJI Mini; UVA; WMO op 75
57f4a6,,,,,,MM-670; NOAA-PSL; WMO op 7
BC10B,,,,,,Foxtech Loong; UKY; WMO op 12
BC10C,,,,,,Foxtech Loong; UKY; WMO op 12
BC10F,,,,,,Foxtech Loong; UKY; WMO op 12
BC10G,,,,,,Foxtech Loong; UKY; WMO op 12
BL022,,,,,,"CopterSonde-3D; OU, NOAA-NSSL; WMO op 37"
BL025,,,,,,"CopterSonde-SWX; OU, NOAA-NSSL; WMO op 37"
BL026,,,,,,"CopterSonde-SWX; OU, NOAA-NSSL; WMO op 37"
BSTE2,,,,,,M100; ERAU; WMO op 13
BSTS1,,,,,,"Blackswift S1; Blackswift, ERAU; WMO op 25"
CA012,,,,,,"CopterSonde-3D; OU, NOAA-NSSL; WMO op 37"
CA018,,,,,,"CopterSonde-3D; OU, NOAA-NSSL; WMO op 37"
CR3,,,,,,RAAVEN; CU-B; WMO op 1
CS2B,,,,,,CopterSonde 3; CU-B; WMO op 15
CS3N4,,,,,,"CopterSonde 3; OU, iMet; WMO op 57"
CS3N7,,,,,,"CopterSonde 3; OU, iMet; WMO op 57"
CS3N9,,,,,,"CopterSonde 3; OU, iMet; WMO op 57"
FALC1,,,,,,Falcon; OSU; WMO op 74
FALCB,,,,,,Falcon; OSU; WMO op 74
Hvr1A,,,,,,Foxtech Hover; UKY; WMO op 12
Hvr1B,,,,,,Foxtech Hover; UKY; WMO op 12
METEO,,,,,,Meteodrone SSE; UNL; WMO op 10
MM100,,,,,,MM-670; OSU; WMO op 74
PMD01,,,,,,MM-670; NOAA-PSL; WMO op 7
SK802,,,,,,Skateboard; OSU; WMO op 30
UNL01,,,,,,Nimbus F550; UNL; WMO op 10
UNL02,,,,,,Nimbus F550; UNL; WMO op 10
UNL03,,,,,,Nimbus F550; UNL; WMO op 10
UNL05,,,,,,Nimbus F550; UNL; WMO op 10
UNL06,,,,,,Nimbus F550; UNL; WMO op 10
dm309,,,,,,GS-Wisp; Greensight; WMO op 34
dm317,,,,,,GS-Wisp; Greensight; WMO op 34
mav25,,,,,,Mavic; FMI; WMO op 49
mav24,,,,,,Mavic; FMI; WMO op 49
mskw1,,,,,,Skywalker mini; FMI; WMO op 49
mskw2,,,,,,Skywalker mini; FMI; WMO op 49
